season,competition,match_date,round,venue,rival,audax_goals,rival_goals,result
2026,LDP,30/01/2026,1,Visita,Universidad de chile,0,0,Empate
2026,LDP,6/2/2026,2,Local,Universidad de concecpcion,3,0,Victoria
2026,LDP,15/02/2026,3,Visita,Ñublense,0,1,Derrota
2026,LDP,22/02/2026,4,Local,Everton,1,0,Victoria
2026,LDP,27/02/2026,5,Visita,Union la Calera,0,3,Derrota
2026,SUD,3/3/2026,PRE,Visita,Cobresal,1,1,Victoria
2026,LDP,7/3/2026,6,Local,Colo-Colo,0,1,Derrota
2026,LDP,13/03/2026,7,Local,Deportes Concepcion,3,0,Victoria
2026,CDL,20/03/2026,1,Visita,Union la Calera,1,0,Victoria
2026,CDL,25/03/2026,2,Local,La Serena,3,1,Victoria
2026,CDL,31/03/2026,3,Local,Universidad de chile,1,3,Derrota
2026,LDP,3/4/2026,8,Visita,Ohiggins,1,2,Derrota
2026,SUD,8/4/2026,1,Local,Olimpia (PAR),0,2,Derrota
2026,LDP,11/4/2026,9,Local,Universidad Catolica,3,4,Derrota
2026,SUD,14/04/2026,2,Visita,Vasco (BRA),2,1,Victoria
2026,LDP,19/04/2026,10,Visita,Huachipato,2,3,Derrota
2026,LDP,24/04/2026,11,Local,Limache,2,2,Empate
2026,SUD,28/04/2026,3,Visita,Barracas (ARG),1,1,Empate
2026,CDL,2/5/2026,4,Local,Union la Calera,1,1,Empate
2026,SUD,6/5/2026,4,Local,Vasco (BRA),1,2,Derrota
